epoch,train_loss,val_loss
1,0.03971166029572487,0.03276673214215981
2,0.032396767884492875,0.03001272678375244
3,0.031404609233140944,0.03340985861263777
4,0.029159386977553367,0.02455310876432218
5,0.030241038650274277,0.03527214731040754
6,0.03266463860869408,0.02949603607780055
7,0.03125578038394451,0.02436430208188923
8,0.02932243801653385,0.031019596088873714
9,0.031175788938999176,0.027943470858429607
10,0.028252805918455123,0.026933645339388596
1,0.002046362329274416,0.002096009875745758
2,0.0018790781358256935,0.0018592891620325023
3,0.0017074742447584868,0.0017189817153848708
4,0.0016641487553715707,0.0017549678266636636
5,0.0020788802392780782,0.0020964877177520017
6,0.001917427396401763,0.0016517046422354486
7,0.002066245572641492,0.0020802242767163797
8,0.001629252922721207,0.0018283638453699257
9,0.0018960199318826198,0.001942082636033822
1,0.0011842561326920987,0.0011395599484737766
2,0.0011007402115501463,0.0013535861170997745
3,0.000985839394852519,0.0010481293184535676
4,0.0010036278935149313,0.0008773190968081748
5,0.0010715871304273605,0.0009587860090265933
6,0.0009665399417281151,0.0007399343548489636
7,0.0009146953886374831,0.0008568984661618934
8,0.001132704964838922,0.0010010733600019624
9,0.0012016348587349057,0.0007289027715542991
10,0.0009276419831439853,0.000774945098735196
1,0.11759376615285873,0.11519448067012586
2,0.12612034559249877,0.13475915632749857
3,0.13118743836879732,0.11117659117046155
4,0.12033456683158875,0.11621895667753722
5,0.11914153963327408,0.11410910910681675
6,0.12774870038032532,0.1323077553196957
7,0.11682717978954316,0.10665449931433327
8,0.11566174179315566,0.1254843712637299
1,0.12299658119678497,0.13252879757630198
2,0.12493256092071534,0.1105751003089704
3,0.12271172583103179,0.11340152354616868
4,0.1283339762687683,0.1127925781827224
5,0.12426368117332459,0.10923323937152561
1,0.12216654419898987,0.11349920850051076
2,0.11513867795467377,0.11976679571365055
3,0.12601520299911498,0.11373350886922133
4,0.11701213121414185,0.11655224938141673
