epoch,train_loss,val_loss
1,0.003340896401554346,0.04259929701685906
2,0.001226962825283408,0.03342511638998985
3,0.0010567465499043466,0.026351472735404967
4,0.0009117929954081774,0.027014024183154108
5,0.0007967841196805239,0.022210328131914137
6,0.000747796818614006,0.01926625706255436
7,0.0006971004977822303,0.023799935653805733
8,0.0006739461496472358,0.01853512741625309
9,0.0006477252319455147,0.017184828147292136
10,0.0005960880583152175,0.01642740786075592
11,0.0005766036594286561,0.01674692992120981
12,0.0005875679971650243,0.016759108528494836
13,0.0005793306352570653,0.01586981810629368
14,0.0005785553688183426,0.017652702033519745
15,0.0005558882206678391,0.01630337692797184
16,0.0005636897906661034,0.017003603130578995
17,0.0005530356466770172,0.015162530913949012
18,0.0005524842003360391,0.015435597449541092
19,0.0005379632022231817,0.019946282878518105
20,0.0006232733381912112,0.018910115733742714
21,0.000546014060266316,0.015898384042084216
22,0.0005279714511707425,0.015497001484036446
23,0.0005171430008485913,0.014604200012981891
24,0.000516290065832436,0.014326418861746787
25,0.0005253040352836251,0.016525240316987037
26,0.0005141331730410456,0.015555522181093693
27,0.0005119734015315771,0.01670754559338093
28,0.000505820743739605,0.015264345593750476
29,0.000507708047516644,0.014709254205226898
30,0.0005106711816042662,0.014633849039673805
31,0.0004927702462300659,0.014435174614191056
32,0.0004939905358478427,0.014817763045430183
33,0.0004865373447537422,0.016254476085305215
34,0.0004939349321648478,0.013862412795424462
35,0.0005044743530452252,0.014887784346938134
36,0.00048592295125126836,0.014166098907589913
37,0.00047252986300736665,0.014609533995389938
38,0.00047998660802841186,0.014266909509897232
39,0.0004710115408524871,0.014137307554483414
40,0.00047856624331325294,0.014180137068033219
41,0.0004805848402902484,0.013697441592812538
42,0.00046421478781849144,0.012896562889218331
43,0.00047631570883095264,0.014780381843447685
44,0.00046113970689475535,0.014385887943208218
45,0.00047444366477429866,0.014483044259250163
46,0.0004737009331583977,0.013666563630104066
47,0.0004666517712175846,0.014025443121790887
48,0.0004724691929295659,0.014350005760788917
49,0.0004725623466074467,0.01469429936259985
50,0.00045027471333742143,0.014479918740689754
