epoch,train_loss,val_loss
1,0.03874114303290844,0.018111332207918166
2,0.01631953986734152,0.015403949804604054
3,0.015233793377876281,0.015642784237861633
4,0.014679730117321014,0.014308591820299626
5,0.014830404438078404,0.013330116420984268
6,0.014601366251707076,0.013802440650761128
7,0.014504374451935292,0.014031728394329548
8,0.014523004718124866,0.012820235379040241
9,0.01399782644212246,0.01320913951843977
10,0.014294502101838589,0.014586110189557076
11,0.014190849170088768,0.013175749182701112
