epoch,train_loss,val_loss
1,0.07276319234073161,0.027242340942223865
2,0.021621993832290173,0.01796681695928176
3,0.017134884282946586,0.01462608739733696
4,0.014017216220498086,0.012510716170072555
5,0.012279798969626428,0.011898025311529637
6,0.011886066362261772,0.010794467609375715
7,0.011755143217742443,0.010773731923351685
8,0.0113860734552145,0.010984170685211818
9,0.01105109542608261,0.010216449908912182
10,0.011019334629178047,0.010003568815688292
11,0.010759068801999092,0.009969830022503932
12,0.010946608424186707,0.009834726421783367
13,0.010538259826600551,0.009770501678188642
14,0.010316947251558304,0.009981324467808007
15,0.010150707811117172,0.009945688837518295
16,0.010210741125047208,0.009507105549176534
17,0.010324259560555219,0.009795595444738864
18,0.010491642624139786,0.009642371498048306
19,0.010105595957487822,0.00979150782028834
20,0.01015572228655219,0.009358169281234344
21,0.010305373404175044,0.009359082579612732
22,0.00992045108601451,0.009582361945261558
23,0.009965071894228458,0.009439044675479333
24,0.009949991848319769,0.009280295514812072
25,0.009881336003541947,0.010552553770442804
26,0.010086672313511371,0.01013025234763821
27,0.010148562971502543,0.009341175829370817
28,0.01042987173423171,0.010449110033611457
29,0.010060755766928196,0.009168409469226996
30,0.009613129932433366,0.009205301385372877
31,0.009961468975991011,0.009046128156284491
32,0.009879256099462509,0.009423096161335708
33,0.0102371142283082,0.009476387755324443
34,0.009783453386276961,0.009204812087118626
35,0.009727466445416211,0.00942476289967696
36,0.00979547481238842,0.00921550505484144
37,0.009992545943707227,0.00953360265120864
38,0.00993742049485445,0.009058515168726444
39,0.009627316206693649,0.009104710817337037
40,0.009819262754172086,0.009714756303777298
41,0.009915943410247565,0.01047309825817744
42,0.010139567498117685,0.009123930241912603
43,0.009861740030348301,0.008957700648655495
44,0.009940827209502458,0.009670517152796189
45,0.009977525003254413,0.009186541493982077
46,0.009933789372444152,0.009145670048892498
47,0.009732587411999703,0.009326967323819796
48,0.009729362271726131,0.009109305056432883
49,0.009436499651521444,0.009247053178648153
50,0.009725278124213218,0.00894199188798666
